Random Generator,bet,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020
1,0.085037529,0.16517857142857142,0.15246636771300448,0.1409090909090909,0.11210762331838565,0.10909090909090909,0.11009174311926606,0.1232876712328767,0.12612612612612611,0.16055045871559634,0.1409090909090909,0.14864864864864866,0.16591928251121077
2,0.16991325399999999,0.4461538461538462,0.42911877394636017,0.4329501915708812,0.36259541984732824,0.3522727272727273,0.35658914728682173,0.3254901960784314,0.3107569721115538,0.324,0.3548387096774194,0.3545816733067729,0.30859375
3,0.210453261,0.43333333333333335,0.4345991561181435,0.5062761506276151,0.5591836734693878,0.5766129032258065,0.5684647302904564,0.4810126582278481,0.47186147186147187,0.4148471615720524,0.42410714285714285,0.4533333333333333,0.48660714285714285
4,0.099769905,0.24870466321243523,0.25252525252525254,0.22613065326633167,0.21428571428571427,0.22613065326633167,0.208955223880597,0.18840579710144928,0.18009478672985782,0.19138755980861244,0.21800947867298578,0.22477064220183487,0.21363636363636362
5,0.06831377200000001,0.13934426229508196,0.1350210970464135,0.11914893617021277,0.1282051282051282,0.11158798283261803,0.08583690987124463,0.0851063829787234,0.08823529411764706,0.0875,0.08936170212765958,0.08823529411764706,0.06611570247933884
6,0.172685055,0.44656488549618323,0.4576923076923077,0.4566929133858268,0.41106719367588934,0.40476190476190477,0.376984126984127,0.32653061224489793,0.30522088353413657,0.2903225806451613,0.29959514170040485,0.332,0.36964980544747084
7,0.142392997,0.29435483870967744,0.3306122448979592,0.3598326359832636,0.37344398340248963,0.3925619834710744,0.4074074074074074,0.36666666666666664,0.3401639344262295,0.2979591836734694,0.3185483870967742,0.3426294820717131,0.3492063492063492
8,0.19138866,0.31981981981981983,0.32589285714285715,0.29596412556053814,0.28054298642533937,0.2636363636363636,0.2972972972972973,0.29333333333333333,0.3056768558951965,0.33766233766233766,0.36554621848739494,0.3983402489626556,0.42436974789915966
9,0.217387522,0.28205128205128205,0.3276595744680851,0.3090128755364807,0.32340425531914896,0.3458333333333333,0.3875,0.3877551020408163,0.45267489711934156,0.46443514644351463,0.4854771784232365,0.4669421487603306,0.4495798319327731
10,0.069329278,0.19838056680161945,0.1762295081967213,0.15163934426229508,0.128099173553719,0.1306122448979592,0.13008130081300814,0.1322314049586777,0.13445378151260504,0.14345991561181434,0.15546218487394958,0.15546218487394958,0.14102564102564102
11,0.097824866,0.212,0.18473895582329317,0.20481927710843373,0.23577235772357724,0.252,0.25206611570247933,0.2821576763485477,0.3055555555555556,0.34509803921568627,0.3046875,0.3228346456692913,0.32558139534883723
12,0.13583981,0.26956521739130435,0.23376623376623376,0.26200873362445415,0.2987012987012987,0.2863247863247863,0.28270042194092826,0.28991596638655465,0.288135593220339,0.2532188841201717,0.29411764705882354,0.3037974683544304,0.3067226890756303
13,0.10572070300000001,0.15555555555555556,0.17410714285714285,0.18468468468468469,0.2054794520547945,0.22119815668202766,0.23963133640552994,0.2350230414746544,0.2727272727272727,0.3225806451612903,0.3644859813084112,0.391705069124424,0.4074074074074074
14,0.147855245,0.3064516129032258,0.30522088353413657,0.2816326530612245,0.288,0.2908366533864542,0.30708661417322836,0.32421875,0.3333333333333333,0.3584905660377358,0.3828996282527881,0.3467153284671533,0.32727272727272727
15,0.095953799,0.28695652173913044,0.2555066079295154,0.2775330396475771,0.26126126126126126,0.26126126126126126,0.25112107623318386,0.2631578947368421,0.2532188841201717,0.26200873362445415,0.2851063829787234,0.296137339055794,0.2936170212765957
16,0.085328162,0.1991701244813278,0.21161825726141079,0.20408163265306123,0.23481781376518218,0.236,0.22267206477732793,0.2388663967611336,0.21074380165289255,0.19583333333333333,0.19665271966527198,0.2301255230125523,0.21544715447154472
17,0.117817006,0.3662551440329218,0.37037037037037035,0.3603238866396761,0.32793522267206476,0.3524590163934426,0.37037037037037035,0.3709677419354839,0.3805668016194332,0.35080645161290325,0.34146341463414637,0.3481781376518219,0.3467741935483871
18,0.20537721,0.5606694560669456,0.5875,0.5477178423236515,0.4838709677419355,0.448,0.40160642570281124,0.36693548387096775,0.34782608695652173,0.35177865612648224,0.4,0.45121951219512196,0.45491803278688525
19,0.147111447,0.33064516129032256,0.31950207468879666,0.34309623430962344,0.3469387755102041,0.3319838056680162,0.32098765432098764,0.32510288065843623,0.33195020746887965,0.3277310924369748,0.3067226890756303,0.275,0.2644628099173554
20,0.197381392,0.44642857142857145,0.4888888888888889,0.5240174672489083,0.5021834061135371,0.5065502183406113,0.47844827586206895,0.45,0.4340425531914894,0.38095238095238093,0.36324786324786323,0.4051724137931034,0.4206008583690987
