Random Generator,bet,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019,02-2020,04-2020,06-2020,08-2020,10-2020,12-2020,02-2021,04-2021,06-2021,08-2021,10-2021,12-2021,02-2022,04-2022,06-2022,08-2022,10-2022,12-2022,02-2023,04-2023,06-2023,08-2023,10-2023,12-2023
1,0.085037529,0.16517857142857142,0.15246636771300448,0.1409090909090909,0.11210762331838565,0.10909090909090909,0.11009174311926606,0.1232876712328767,0.12612612612612611,0.16055045871559634,0.1409090909090909,0.14864864864864866,0.15625,0.16964285714285715,0.16666666666666666,0.16379310344827586,0.15555555555555556,0.13333333333333333,0.12831858407079647,0.10619469026548672,0.07894736842105263,0.056768558951965066,0.05217391304347826,0.048672566371681415,0.043859649122807015,0.039301310043668124,0.03125,0.03070175438596491,0.02145922746781116,0.02127659574468085,0.025423728813559324,0.02510460251046025,0.024793388429752067,0.024390243902439025,0.020242914979757085,0.0163265306122449,0.016129032258064516
2,0.16991325399999999,0.4461538461538462,0.42911877394636017,0.4329501915708812,0.36259541984732824,0.3522727272727273,0.35658914728682173,0.3254901960784314,0.3107569721115538,0.324,0.3548387096774194,0.3545816733067729,0.3215686274509804,0.3035019455252918,0.2625482625482625,0.26666666666666666,0.24436090225563908,0.24719101123595505,0.21561338289962825,0.18045112781954886,0.16412213740458015,0.14285714285714285,0.11904761904761904,0.1111111111111111,0.09803921568627451,0.078125,0.05952380952380952,0.07171314741035857,0.06072874493927125,0.045081967213114756,0.036734693877551024,0.045454545454545456,0.04184100418410042,0.03305785123966942,0.029535864978902954,0.03333333333333333,0.0326530612244898
3,0.210453261,0.43333333333333335,0.4345991561181435,0.5062761506276151,0.5591836734693878,0.5766129032258065,0.5684647302904564,0.4810126582278481,0.47186147186147187,0.4148471615720524,0.42410714285714285,0.4533333333333333,0.47555555555555556,0.4517543859649123,0.39111111111111113,0.30666666666666664,0.24778761061946902,0.20087336244541484,0.1826086956521739,0.14224137931034483,0.10683760683760683,0.10344827586206896,0.09130434782608696,0.10964912280701754,0.1038961038961039,0.09170305676855896,0.0881057268722467,0.1038961038961039,0.11965811965811966,0.1459227467811159,0.16666666666666666,0.1752136752136752,0.17916666666666667,0.1557377049180328,0.15416666666666667,0.12345679012345678,0.1322314049586777
4,0.099769905,0.24870466321243523,0.25252525252525254,0.22613065326633167,0.21428571428571427,0.22613065326633167,0.208955223880597,0.18840579710144928,0.18009478672985782,0.19138755980861244,0.21800947867298578,0.22477064220183487,0.2191780821917808,0.1963470319634703,0.18018018018018017,0.17543859649122806,0.16810344827586207,0.15517241379310345,0.1471861471861472,0.12931034482758622,0.12280701754385964,0.10434782608695652,0.07563025210084033,0.0546218487394958,0.04602510460251046,0.029288702928870293,0.016129032258064516,0.007936507936507936,0.007905138339920948,0.01195219123505976,0.019762845849802372,0.022900763358778626,0.026515151515151516,0.03007518796992481,0.026515151515151516,0.026415094339622643,0.022641509433962263
5,0.06831377200000001,0.13934426229508196,0.1350210970464135,0.11914893617021277,0.1282051282051282,0.11158798283261803,0.08583690987124463,0.0851063829787234,0.08823529411764706,0.0875,0.08936170212765958,0.08823529411764706,0.06995884773662552,0.05785123966942149,0.06224066390041494,0.05371900826446281,0.044897959183673466,0.04132231404958678,0.04149377593360996,0.03278688524590164,0.02066115702479339,0.024793388429752067,0.025,0.024793388429752067,0.024793388429752067,0.024793388429752067,0.024096385542168676,0.0199203187250996,0.01953125,0.015625,0.015748031496062992,0.01556420233463035,0.01171875,0.007874015748031496,0.007782101167315175,0.0076045627376425855,0.007662835249042145
6,0.172685055,0.44656488549618323,0.4576923076923077,0.4566929133858268,0.41106719367588934,0.40476190476190477,0.376984126984127,0.32653061224489793,0.30522088353413657,0.2903225806451613,0.29959514170040485,0.332,0.35546875,0.3453815261044177,0.32936507936507936,0.31020408163265306,0.2809917355371901,0.2757201646090535,0.2625,0.22540983606557377,0.2032520325203252,0.20833333333333334,0.17073170731707318,0.1728395061728395,0.13991769547325103,0.10526315789473684,0.08032128514056225,0.06349206349206349,0.05179282868525897,0.05220883534136546,0.06477732793522267,0.056910569105691054,0.02880658436213992,0.024793388429752067,0.02066115702479339,0.020242914979757085,0.03225806451612903
7,0.142392997,0.29435483870967744,0.3306122448979592,0.3598326359832636,0.37344398340248963,0.3925619834710744,0.4074074074074074,0.36666666666666664,0.3401639344262295,0.2979591836734694,0.3185483870967742,0.3426294820717131,0.35714285714285715,0.3241106719367589,0.31225296442687744,0.26171875,0.23809523809523808,0.18972332015810275,0.1646586345381526,0.1349206349206349,0.12156862745098039,0.09486166007905138,0.07142857142857142,0.064,0.04878048780487805,0.04065040650406504,0.04048582995951417,0.02032520325203252,0.02040816326530612,0.016129032258064516,0.012048192771084338,0.004032258064516129,0.004081632653061225,0.004098360655737705,0.0,0.0,0.0
8,0.19138866,0.31981981981981983,0.32589285714285715,0.29596412556053814,0.28054298642533937,0.2636363636363636,0.2972972972972973,0.29333333333333333,0.3056768558951965,0.33766233766233766,0.36554621848739494,0.3983402489626556,0.41596638655462187,0.39574468085106385,0.34763948497854075,0.28936170212765955,0.25630252100840334,0.20588235294117646,0.2345679012345679,0.17142857142857143,0.15261044176706828,0.13654618473895583,0.148,0.16260162601626016,0.1910569105691057,0.20242914979757085,0.2015810276679842,0.20233463035019456,0.192,0.19444444444444445,0.21285140562248997,0.21031746031746032,0.16532258064516128,0.156,0.14,0.14960629921259844,0.1556420233463035
9,0.217387522,0.28205128205128205,0.3276595744680851,0.3090128755364807,0.32340425531914896,0.3458333333333333,0.3875,0.3877551020408163,0.45267489711934156,0.46443514644351463,0.4854771784232365,0.4669421487603306,0.45188284518828453,0.40336134453781514,0.3140495867768595,0.20816326530612245,0.19421487603305784,0.1859504132231405,0.16115702479338842,0.13991769547325103,0.10504201680672269,0.08298755186721991,0.08163265306122448,0.0823045267489712,0.06854838709677419,0.06048387096774194,0.05511811023622047,0.054901960784313725,0.03571428571428571,0.03557312252964427,0.05263157894736842,0.052,0.052845528455284556,0.058333333333333334,0.06611570247933884,0.08979591836734693,0.1214574898785425
10,0.069329278,0.19838056680161945,0.1762295081967213,0.15163934426229508,0.128099173553719,0.1306122448979592,0.13008130081300814,0.1322314049586777,0.13445378151260504,0.14345991561181434,0.15546218487394958,0.15546218487394958,0.13617021276595745,0.11965811965811966,0.09913793103448276,0.0944206008583691,0.08085106382978724,0.07083333333333333,0.06639004149377593,0.049586776859504134,0.03643724696356275,0.028688524590163935,0.020491803278688523,0.02092050209205021,0.012552301255230125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.097824866,0.212,0.18473895582329317,0.20481927710843373,0.23577235772357724,0.252,0.25206611570247933,0.2821576763485477,0.3055555555555556,0.34509803921568627,0.3046875,0.3228346456692913,0.32558139534883723,0.3178294573643411,0.2471042471042471,0.2109375,0.16929133858267717,0.12992125984251968,0.11284046692607004,0.11067193675889328,0.07569721115537849,0.06477732793522267,0.044897959183673466,0.04065040650406504,0.023809523809523808,0.01195219123505976,0.007936507936507936,0.003952569169960474,0.003952569169960474,0.00784313725490196,0.007936507936507936,0.003968253968253968,0.00398406374501992,0.0,0.003952569169960474,0.003937007874015748,0.015748031496062992
12,0.13583981,0.26956521739130435,0.23376623376623376,0.26200873362445415,0.2987012987012987,0.2863247863247863,0.28270042194092826,0.28991596638655465,0.288135593220339,0.2532188841201717,0.29411764705882354,0.3037974683544304,0.31223628691983124,0.2719665271966527,0.24267782426778242,0.23770491803278687,0.205761316872428,0.18775510204081633,0.16666666666666666,0.145748987854251,0.14741035856573706,0.1388888888888889,0.11507936507936507,0.10714285714285714,0.092,0.092,0.07818930041152264,0.07851239669421488,0.075,0.07024793388429752,0.0875,0.075,0.07083333333333333,0.06224066390041494,0.05063291139240506,0.04149377593360996,0.041666666666666664
13,0.10572070300000001,0.15555555555555556,0.17410714285714285,0.18468468468468469,0.2054794520547945,0.22119815668202766,0.23963133640552994,0.2350230414746544,0.2727272727272727,0.3225806451612903,0.3644859813084112,0.391705069124424,0.4074074074074074,0.38073394495412843,0.3287671232876712,0.3,0.24537037037037038,0.16591928251121077,0.14349775784753363,0.1111111111111111,0.08849557522123894,0.08225108225108226,0.08296943231441048,0.0603448275862069,0.06896551724137931,0.06837606837606838,0.06866952789699571,0.06779661016949153,0.07327586206896551,0.06956521739130435,0.07327586206896551,0.09051724137931035,0.07758620689655173,0.05907172995780591,0.05063291139240506,0.0379746835443038,0.025
14,0.147855245,0.3064516129032258,0.30522088353413657,0.2816326530612245,0.288,0.2908366533864542,0.30708661417322836,0.32421875,0.3333333333333333,0.3584905660377358,0.3828996282527881,0.3467153284671533,0.33454545454545453,0.2841726618705036,0.2571428571428571,0.22661870503597123,0.2028985507246377,0.16605166051660517,0.14661654135338345,0.1111111111111111,0.08614232209737828,0.08045977011494253,0.06177606177606178,0.0546875,0.04633204633204633,0.038461538461538464,0.03461538461538462,0.03018867924528302,0.01858736059479554,0.011152416356877323,0.011363636363636364,0.011320754716981131,0.011450381679389313,0.01893939393939394,0.019230769230769232,0.027237354085603113,0.023529411764705882
15,0.095953799,0.28695652173913044,0.2555066079295154,0.2775330396475771,0.26126126126126126,0.26126126126126126,0.25112107623318386,0.2631578947368421,0.2532188841201717,0.26200873362445415,0.2851063829787234,0.296137339055794,0.2923728813559322,0.2765957446808511,0.27350427350427353,0.24568965517241378,0.21120689655172414,0.1906779661016949,0.1810344827586207,0.12340425531914893,0.10126582278481013,0.09012875536480687,0.06276150627615062,0.041666666666666664,0.029166666666666667,0.025210084033613446,0.020833333333333332,0.02074688796680498,0.01680672268907563,0.02564102564102564,0.01282051282051282,0.02074688796680498,0.02100840336134454,0.025,0.02510460251046025,0.029411764705882353,0.024793388429752067
16,0.085328162,0.1991701244813278,0.21161825726141079,0.20408163265306123,0.23481781376518218,0.236,0.22267206477732793,0.2388663967611336,0.21074380165289255,0.19583333333333333,0.19665271966527198,0.2301255230125523,0.22357723577235772,0.1927710843373494,0.164,0.13709677419354838,0.12,0.13147410358565736,0.128,0.09163346613545817,0.07661290322580645,0.07936507936507936,0.07509881422924901,0.07003891050583658,0.07086614173228346,0.07114624505928854,0.054474708171206226,0.06692913385826772,0.06324110671936758,0.06477732793522267,0.05263157894736842,0.04417670682730924,0.044,0.036290322580645164,0.036585365853658534,0.03187250996015936,0.04
17,0.117817006,0.3662551440329218,0.37037037037037035,0.3603238866396761,0.32793522267206476,0.3524590163934426,0.37037037037037035,0.3709677419354839,0.3805668016194332,0.35080645161290325,0.34146341463414637,0.3481781376518219,0.3467741935483871,0.3469387755102041,0.29554655870445345,0.24701195219123506,0.17073170731707318,0.15040650406504066,0.13821138211382114,0.09836065573770492,0.10245901639344263,0.08130081300813008,0.0653061224489796,0.04838709677419355,0.032,0.03643724696356275,0.024291497975708502,0.02066115702479339,0.03319502074688797,0.02040816326530612,0.036885245901639344,0.036734693877551024,0.0326530612244898,0.032520325203252036,0.04780876494023904,0.056451612903225805,0.056910569105691054
18,0.20537721,0.5606694560669456,0.5875,0.5477178423236515,0.4838709677419355,0.448,0.40160642570281124,0.36693548387096775,0.34782608695652173,0.35177865612648224,0.4,0.45121951219512196,0.45081967213114754,0.39759036144578314,0.3467741935483871,0.3110236220472441,0.2723735408560311,0.23846153846153847,0.20610687022900764,0.18773946360153257,0.15057915057915058,0.12167300380228137,0.10687022900763359,0.08396946564885496,0.08270676691729323,0.06792452830188679,0.07434944237918216,0.06666666666666667,0.07142857142857142,0.0830188679245283,0.1044776119402985,0.13602941176470587,0.12546125461254612,0.11397058823529412,0.11764705882352941,0.11594202898550725,0.14336917562724014
19,0.147111447,0.33064516129032256,0.31950207468879666,0.34309623430962344,0.3469387755102041,0.3319838056680162,0.32098765432098764,0.32510288065843623,0.33195020746887965,0.3277310924369748,0.3067226890756303,0.275,0.26556016597510373,0.24899598393574296,0.23828125,0.20948616600790515,0.171875,0.15953307392996108,0.1328125,0.1067193675889328,0.0642570281124498,0.068,0.07661290322580645,0.07228915662650602,0.07661290322580645,0.06910569105691057,0.06584362139917696,0.07024793388429752,0.049586776859504134,0.03361344537815126,0.029411764705882353,0.0163265306122449,0.02459016393442623,0.029166666666666667,0.02459016393442623,0.028688524590163935,0.041666666666666664
20,0.197381392,0.44642857142857145,0.4888888888888889,0.5240174672489083,0.5021834061135371,0.5065502183406113,0.47844827586206895,0.45,0.4340425531914894,0.38095238095238093,0.36324786324786323,0.4051724137931034,0.41630901287553645,0.3620689655172414,0.3218884120171674,0.2594142259414226,0.25311203319502074,0.2033898305084746,0.2025862068965517,0.18723404255319148,0.17167381974248927,0.15584415584415584,0.15948275862068967,0.1810344827586207,0.19213973799126638,0.1688888888888889,0.13478260869565217,0.12554112554112554,0.11392405063291139,0.11297071129707113,0.08713692946058091,0.0942622950819672,0.09795918367346938,0.125,0.14457831325301204,0.19444444444444445,0.26171875
21,0.205786245,0.4204081632653061,0.4156378600823045,0.39330543933054396,0.38396624472573837,0.38197424892703863,0.4069264069264069,0.40948275862068967,0.41630901287553645,0.4525862068965517,0.4219409282700422,0.44166666666666665,0.3760330578512397,0.32786885245901637,0.25102880658436216,0.1991701244813278,0.1908713692946058,0.16872427983539096,0.18410041841004185,0.13877551020408163,0.116,0.10714285714285714,0.12301587301587301,0.1,0.08695652173913043,0.07058823529411765,0.05343511450381679,0.0421455938697318,0.038461538461538464,0.03474903474903475,0.04247104247104247,0.04597701149425287,0.027777777777777776,0.02,0.024390243902439025,0.036585365853658534,0.041666666666666664
22,0.17612267,0.5289256198347108,0.47346938775510206,0.4066390041493776,0.3941908713692946,0.39183673469387753,0.3699186991869919,0.38271604938271603,0.3877551020408163,0.3877551020408163,0.3975409836065574,0.3868312757201646,0.3562753036437247,0.3076923076923077,0.27419354838709675,0.20078740157480315,0.22134387351778656,0.20866141732283464,0.2047244094488189,0.18503937007874016,0.1626984126984127,0.1349206349206349,0.14227642276422764,0.145748987854251,0.14634146341463414,0.1322314049586777,0.11885245901639344,0.14342629482071714,0.12,0.12601626016260162,0.12757201646090535,0.09016393442622951,0.0846774193548387,0.06882591093117409,0.08943089430894309,0.08906882591093117,0.10040160642570281
23,0.08698454800000001,0.32051282051282054,0.2863247863247863,0.2832618025751073,0.2796610169491525,0.2627118644067797,0.23404255319148937,0.2703862660944206,0.2672413793103448,0.26521739130434785,0.2974137931034483,0.3103448275862069,0.33905579399141633,0.34051724137931033,0.2918454935622318,0.24034334763948498,0.1906779661016949,0.16101694915254236,0.11206896551724138,0.09913793103448276,0.08583690987124463,0.07234042553191489,0.07563025210084033,0.08016877637130802,0.058333333333333334,0.05416666666666667,0.06329113924050633,0.05531914893617021,0.04741379310344827,0.05194805194805195,0.039647577092511016,0.030434782608695653,0.021645021645021644,0.022321428571428572,0.022321428571428572,0.017316017316017316,0.013100436681222707
24,0.089500526,0.17391304347826086,0.17391304347826086,0.1976284584980237,0.22709163346613545,0.23846153846153847,0.26053639846743293,0.2595419847328244,0.2625482625482625,0.2578125,0.2795275590551181,0.2891566265060241,0.25,0.22448979591836735,0.17479674796747968,0.15447154471544716,0.13168724279835392,0.11522633744855967,0.10483870967741936,0.10040160642570281,0.0778688524590164,0.056451612903225805,0.04065040650406504,0.036734693877551024,0.0371900826446281,0.029661016949152543,0.03305785123966942,0.03765690376569038,0.03765690376569038,0.03734439834024896,0.05,0.04526748971193416,0.04938271604938271,0.04918032786885246,0.04526748971193416,0.045081967213114756,0.04132231404958678
25,0.074497147,0.08108108108108109,0.07114624505928854,0.07142857142857142,0.08627450980392157,0.0859375,0.1124031007751938,0.1422924901185771,0.1484375,0.14566929133858267,0.1517509727626459,0.14285714285714285,0.18253968253968253,0.17647058823529413,0.1607843137254902,0.15267175572519084,0.13636363636363635,0.1169811320754717,0.09737827715355805,0.08921933085501858,0.06716417910447761,0.06463878326996197,0.04597701149425287,0.03861003861003861,0.03861003861003861,0.02766798418972332,0.01593625498007968,0.012145748987854251,0.016260162601626018,0.020491803278688523,0.020491803278688523,0.028455284552845527,0.037037037037037035,0.044897959183673466,0.0423728813559322,0.04526748971193416,0.036734693877551024
26,0.133984924,0.2231404958677686,0.25,0.24489795918367346,0.24899598393574296,0.224,0.20481927710843373,0.20967741935483872,0.2032520325203252,0.20816326530612245,0.25206611570247933,0.2674897119341564,0.2530612244897959,0.2231404958677686,0.19008264462809918,0.1700404858299595,0.1417004048582996,0.11983471074380166,0.1092436974789916,0.08333333333333333,0.07407407407407407,0.07258064516129033,0.06451612903225806,0.06854838709677419,0.060240963855421686,0.044897959183673466,0.044715447154471545,0.04602510460251046,0.03333333333333333,0.02510460251046025,0.02066115702479339,0.015810276679841896,0.016194331983805668,0.02032520325203252,0.02834008097165992,0.028455284552845527,0.04065040650406504
27,0.126547075,0.35968379446640314,0.344,0.35080645161290325,0.328,0.2992125984251969,0.3333333333333333,0.316,0.37401574803149606,0.37549407114624506,0.34782608695652173,0.35294117647058826,0.3127413127413127,0.29961089494163423,0.2723735408560311,0.2490118577075099,0.24110671936758893,0.1968503937007874,0.18,0.1700404858299595,0.1422924901185771,0.13618677042801555,0.1,0.07692307692307693,0.06177606177606178,0.04198473282442748,0.022813688212927757,0.018796992481203006,0.022222222222222223,0.029304029304029304,0.021739130434782608,0.01818181818181818,0.02527075812274368,0.022222222222222223,0.022813688212927757,0.03474903474903475,0.04780876494023904
28,0.219043724,0.5019607843137255,0.4624505928853755,0.46,0.4591439688715953,0.4765625,0.4708171206225681,0.42803030303030304,0.42748091603053434,0.4772727272727273,0.46387832699619774,0.48314606741573035,0.47692307692307695,0.40229885057471265,0.3007518796992481,0.25735294117647056,0.25,0.23161764705882354,0.21897810218978103,0.17793594306049823,0.17375886524822695,0.13553113553113552,0.11070110701107011,0.13409961685823754,0.1856060606060606,0.19402985074626866,0.16974169741697417,0.1875,0.18545454545454546,0.19343065693430658,0.19927536231884058,0.2028985507246377,0.1918819188191882,0.19771863117870722,0.22692307692307692,0.2471042471042471,0.24031007751937986
29,0.074834934,0.18181818181818182,0.19111111111111112,0.19642857142857142,0.20982142857142858,0.20175438596491227,0.21397379912663755,0.21888412017167383,0.2127659574468085,0.21610169491525424,0.22127659574468084,0.2184873949579832,0.225531914893617,0.20502092050209206,0.18803418803418803,0.14767932489451477,0.12931034482758622,0.11965811965811966,0.09913793103448276,0.07659574468085106,0.058577405857740586,0.059322033898305086,0.03765690376569038,0.0375,0.03734439834024896,0.029411764705882353,0.016877637130801686,0.017167381974248927,0.01276595744680851,0.016666666666666666,0.01639344262295082,0.012096774193548387,0.008,0.008097165991902834,0.012145748987854251,0.024096385542168676,0.024291497975708502
30,0.217121305,0.40476190476190477,0.4238095238095238,0.4205607476635514,0.47706422018348627,0.46846846846846846,0.44594594594594594,0.4298642533936652,0.4351851851851852,0.3972602739726027,0.41935483870967744,0.44144144144144143,0.47533632286995514,0.38009049773755654,0.3568281938325991,0.30303030303030304,0.25,0.2079646017699115,0.1956521739130435,0.16666666666666666,0.13414634146341464,0.0846774193548387,0.0823045267489712,0.10569105691056911,0.10931174089068826,0.12903225806451613,0.12449799196787148,0.164,0.1843137254901961,0.21115537848605578,0.23809523809523808,0.24096385542168675,0.192,0.2,0.1811320754716981,0.18461538461538463,0.1744186046511628
31,0.127827847,0.2966101694915254,0.3008474576271186,0.29338842975206614,0.2975206611570248,0.29707112970711297,0.23949579831932774,0.23076923076923078,0.251063829787234,0.3173913043478261,0.336283185840708,0.41125541125541126,0.4291845493562232,0.405982905982906,0.3277310924369748,0.31275720164609055,0.2581967213114754,0.2073170731707317,0.15163934426229508,0.12955465587044535,0.12550607287449392,0.10040160642570281,0.07171314741035857,0.0784313725490196,0.07782101167315175,0.08235294117647059,0.0859375,0.08494208494208494,0.08461538461538462,0.08333333333333333,0.09056603773584905,0.09363295880149813,0.08239700374531835,0.07169811320754717,0.06439393939393939,0.057034220532319393,0.05660377358490566
