"","IU_full_code","pop"
"1","AGO02049",165500
"2","AGO02050",1634925
"3","AGO02051",588445
"4","AGO02052",194668
"5","AGO02053",451705
"6","AGO02054",801721
"7","AGO02055",794376
"8","AGO02056",4100033
"9","AGO02057",1214944
"10","AGO02058",642644
"11","AGO02059",2259071
"12","AGO02060",1749927
"13","AGO02061",655329
"14","AGO02062",2752252
"15","AGO02063",1875997
"16","AGO02064",939481
"17","AGO02065",559712
"18","AGO02066",1128648
"19","AGO02067",930465
"20","AGO02068",411214
"21","AGO02069",3322888
"22","AGO02070",543378
"23","AGO02071",913958
"24","AGO02072",145720
"25","AGO02073",248215
"26","AGO02074",4579608
"27","AGO02076",209249
"28","AGO02077",111450
"29","AGO02078",161693
"30","AGO02079",321176
"31","AGO02080",298978
"32","AGO02081",199640
"33","AGO02082",2354358
"34","AGO02083",23014
"35","AGO02084",238594
"36","AGO02085",457672
"37","AGO02086",74474
"38","AGO02087",95871
"39","AGO02088",107865
"40","AGO02089",216964
"41","AGO02090",237749
"42","AGO02091",671112
"43","AGO02092",1261976
"44","AGO02093",73623
"45","AGO02094",161050
"46","AGO02096",50567
"47","AGO02097",169726
"48","AGO02098",1790472
"49","AGO02099",1213274
"50","AGO02100",1100721
"51","AGO02101",1043532
"52","AGO02102",713936
"53","AGO02103",670417
"54","AGO02104",666778
"55","AGO02105",597742
"56","AGO02106",922891
"57","AGO02107",1361649
"58","AGO02108",1956161
"59","AGO02110",517902
"60","AGO02111",307612
"61","AGO02112",435469
"62","AGO02113",2740494
"63","AGO02114",1061584
"64","AGO02115",2220539
"65","AGO02116",2174180
"66","AGO02117",221604
"67","AGO02118",608626
"68","AGO02119",5207530
"69","AGO02120",2037780
"70","AGO02121",535946
"71","AGO02122",977600
"72","AGO02123",675276
"73","AGO02124",843067
"74","AGO02125",463314
"75","AGO02126",373794
"76","AGO02127",1295947
"77","AGO02128",975155
"78","AGO02129",475206
"79","AGO02130",585492
"80","AGO02131",648775
"81","AGO02132",775665
"82","AGO02133",1234665
"83","AGO02134",1317199
"84","AGO02135",544205
"85","AGO02136",580971
"86","AGO02137",5684763
"87","AGO02138",2018374
"88","AGO02140",7430048
"89","AGO02141",6605792
"90","AGO02143",3674852
"91","AGO02148",11800049
"92","AGO02149",1457435
"93","AGO02150",882816
"94","AGO02151",425067
"95","AGO02152",209060
"96","AGO02153",1352760
"97","AGO02154",154309
"98","AGO02155",148068
"99","AGO02156",1139652
"100","AGO02157",462719
"101","AGO02158",213669
"102","AGO02159",233860
"103","AGO02160",254826
"104","AGO02161",3244377
"105","AGO02162",161545
"106","AGO02163",530688
"107","AGO02164",617574
"108","AGO02165",337108
"109","AGO02166",330867
"110","AGO02167",1665510
"111","AGO02168",160361
"112","AGO02169",113198
"113","AGO02170",96905
"114","AGO02171",397098
"115","AGO02172",3698542
"116","AGO02173",197108
"117","AGO02174",243329
"118","AGO02176",383185
"119","AGO02177",250220
"120","AGO02179",177626
"121","AGO02180",128029
"122","AGO02181",1126196
"123","AGO02182",336323
"124","AGO02183",340564
"125","AGO02184",2649213
"126","AGO02185",453707
"127","AGO02186",373658
"128","AGO02187",2156701
"129","AGO02188",413523
"130","AGO02189",235000
"131","AGO02190",130585
"132","AGO02191",243423
"133","AGO02192",430918
"134","AGO02193",283364
"135","AGO02194",487015
"136","AGO02195",395572
